feature1,feature2,feature3,feature4,feature5,class
6.353638829038843,37.53998815728124,64.49688049586129,5.839917966349506,81.56598415959813,A
32.725124378314504,35.078529755222874,96.36695207017031,24.840953373000374,62.832490324826175,A
49.55421483927381,73.17265515105979,35.86079119005341,73.45897510805695,82.79386058841888,A
39.77189203797118,10.78920110102024,21.193106178666664,78.52089197183085,10.007972407288069,A
44.3165117391867,21.326329793659482,99.90038628998134,65.17790074516748,96.20484257481426,A
73.71776993776685,92.45813720684359,83.76760688166266,19.39055906113505,99.20343389456448,B
32.15194001598921,79.87592995163601,61.633491793690354,80.68442240915206,65.02664718423449,B
19.525016025990194,30.182834887545663,46.95621083404898,89.47318370262697,6.34090333323476,B
92.0580079432258,8.898169587763993,40.52014568678598,0.09671984258026178,43.08706387490514,B
14.091809397669586,49.959427825387046,99.16932594090227,72.05764130657973,39.88935904530037,A
0.056113593652085125,21.87240176726969,3.486352726421693,71.54464674649384,83.2136330170872,B
63.14145296885436,6.563454624824027,11.040985487103217,36.98923177727866,56.04360229523708,A
60.603950664527964,71.93697774205681,45.096838551416575,9.1558868254771,13.649001585215858,A
73.80382912735458,64.36146253416044,84.7533219804892,18.51433516896307,79.84918258047448,B
55.37037400672433,52.02605232343424,47.672584499028595,60.7802067527855,2.8830651227089166,A
15.693937927656131,34.81658964108387,5.04739390358745,83.20561511854426,22.778310307071116,A
20.584484712730255,61.101696741492404,64.48157162687436,67.10744741534776,94.42655461391698,A
40.66196158813059,77.1524563008882,76.37095633426632,14.869161549141928,96.42677443290884,A
70.00432603548866,52.44329734936184,75.32967677427011,25.95948637604627,91.13438860536739,A
6.457711141209921,60.760416886423826,50.57203791886682,18.356048522581602,18.87148341443663,B
93.64347882338913,23.58985049383233,15.49438531539231,81.13351584455314,38.0246877440536,A
6.981960316980529,67.8608071236955,11.144006483432312,25.41550904562606,69.9569435663822,B
60.403749201555726,79.4701249726073,61.55906387330455,9.059676925480531,66.47993447855582,A
77.85901733676823,73.16523285707135,33.452390564416426,6.4691618635801085,29.727655154235677,B
3.361107741761249,29.014357821568726,67.96864621914021,74.13741353110342,68.39380996745213,B
73.49899947293396,88.66357307266337,43.19283248845957,64.27624849471935,40.1546049451077,A
87.43955289953064,81.1668923692733,95.68684893240929,54.33675596263798,75.07721432075304,A
13.388184961415517,47.93247469438213,50.510809259774604,56.93788973425817,32.79757772613557,A
38.849007080550344,95.31610247690617,2.4564592600179513,98.26128375372059,8.644666429456649,B
55.22985041452107,24.77565272384561,35.97027202277495,10.164568792518324,13.781161499872773,A
48.89810108086067,16.415369893980834,90.82008863355773,74.92194351750274,93.6494801054597,A
71.68499023304324,85.04688131985093,54.015445379112016,48.260662382464794,99.95294486538468,A
5.237354819450402,45.006587502186036,24.137698291231548,73.31334169358458,16.94718645958272,A
43.00461050123666,71.36463074514424,93.10567760518515,4.794728004717019,37.96295425515099,B
4.763268808577548,89.44449283697301,94.016377665976,79.14444271159866,7.4493491788299675,B
62.520741493297535,30.200686749786122,42.17452903911837,88.08074362896757,9.830321852267321,A
83.23406738383943,36.63170515334757,82.21685592898324,26.759595183603146,75.64657549693936,B
97.1428378630259,20.77321698896839,87.12227796019216,41.552194433814634,88.46673256875923,B
68.90439550209568,28.76843823685925,45.479696384229825,93.5508815182402,47.97101311313945,B
91.41662340841128,36.04800067003641,30.40868188267255,42.23178163385679,13.373429765633238,B
82.02554768184991,91.71942592231119,33.831478877660906,7.208266178511346,31.78944752616045,B
30.770213315458783,23.36368150810624,33.22335244077902,28.552435834413014,4.2328098789017226,B
78.4592048422396,96.10796772745182,47.31208125796732,72.51866272231791,2.2902771693798063,B
8.296449130341788,8.3800129064729,20.43418770510942,1.222946303629302,47.87710144902323,A
57.53378246518921,35.670915483766464,43.635611432904064,75.5046481693635,56.73365209902587,B
91.42796834346957,77.96680603322469,23.857285820634587,37.38243717247586,52.94822550031844,B
99.86881788118625,28.433211510378943,36.69356726341674,39.85346887540939,12.391792830944858,A
90.1960912902899,31.070766014576,35.96299707328415,55.588499997238806,2.1736121185013224,B
41.85352785034245,56.986360561134084,44.758007231711375,63.694431514298124,26.936586087602134,A
57.17874097551734,66.7007008367817,48.79890651118194,87.34510683852615,1.6446381519249154,A
66.7133633028519,0.7087768676237727,81.50363702471981,31.714676681036526,98.06955322765393,B
55.988602859244274,74.64930387513725,42.82021592513047,1.3674010041460405,11.410182868986062,B
21.31363409873255,7.831113089183662,48.408352482715536,85.8649835703819,5.723896171482423,A
95.99617739435095,52.805964340926536,87.3960306774285,80.12010548244967,37.479732475981145,B
87.75233093127474,55.31852986122563,29.268597989643986,58.6662178989117,51.709020142235026,A
68.80646572562065,95.35102259413375,21.1756784890194,60.64778352118384,15.18088730875241,A
75.79602818791057,62.35377293194401,40.818316579762445,28.69540000951921,25.353860429223786,B
61.64558766742084,29.443706251843093,28.709399132614543,20.048807386454058,31.472209930128347,B
42.717134723856844,73.58574490664914,96.74289301935733,20.299255282347605,31.587416473890805,B
71.21635211016404,94.26797787258832,63.930521891409484,28.82647085879312,87.79401463726163,B
